"","batch","individual_id","sex","age","Residuals"
"7975390",0,0.0247069619749928,0.000542016130280507,0.00479740614453639,0.96995361575019
"7975406",0,0,0.00622236780518204,0.000465252441883086,0.993312379752935
"7975412",0,0.373653190218554,1.56196801638502e-11,0.0160964394427431,0.610250370323084
"7975416",7.58261131093532e-17,0.133409711154808,0,0.0044270746497697,0.862163214195422
"7975459",0,0,0,0.000670332753145375,0.999329667246855
"7975482",0,0,0,0.00678144193162377,0.993218558068376
"7975506",0,0.262491586160799,9.94381663844658e-13,0.0166537257938924,0.720854688044314
"7975545",0,0,0,0.00653002768089304,0.993469972319107
"7975562",0,0.21526485152066,1.44010096862304e-13,0.0158936142171492,0.768841534262047
"7975595",0,0.256351805378307,2.55427031945574e-12,0.00395582091739623,0.739692373701742
"7975598",1.68321525797905e-10,0.0184831352807853,0,0.0039156435242483,0.977601221026645
"7975602",4.04169269862523e-11,0.0762762485671295,0,0.00654448195761557,0.917179269434838
"7975607",0,6.05522247434044e-16,3.56082215509042e-16,0.000772612787542351,0.999227387212457
"7975613",0,5.89999938800318e-19,1.2747328491497e-17,0.00730160963817398,0.992698390361826
"7975616",0,0,0.0240946257123357,0.00642940405073324,0.969475970236931
"7975626",0,0.0221775485513019,0,0.00358588547670148,0.974236565971997
"7975632",0,0.286381125970842,0.0278470060920963,0.00728325372756764,0.678488614209494
"7975645",0,0.228903379152373,0,0.00521024134133724,0.76588637950629
"7975661",0,0.111972407020979,0.0108790737295993,1.65395577276291e-05,0.877131979691694
"7975676",0,0.289199810153153,7.39018770507838e-14,0.0126818688564142,0.698118320990359
"7975687",1.20794829907396e-11,0.0812046329467208,0.00736652996585619,0.0261852553286347,0.885243581746709
"7975696",0,0.0535201974905399,0,0.00494818357121327,0.941531618938247
"7975702",0,0.06192219325755,5.5591198400319e-14,0.000662483051030834,0.937415323691363
"7975705",0,0.0455870473952838,7.86261493539427e-11,0.000337378262147824,0.954075574263942
"7975713",2.82145307041274e-11,4.34322950969952e-10,0.000680089057195386,0.0111866526373017,0.988133257842965
"7975725",1.62639958890966e-13,0.0873624639064589,0,0.00884451126917516,0.903793024824203
"7975747",0,0.0996134660626673,0.00969670887649088,0.0018500341780759,0.888839790882766
"7975760",6.46360474914789e-11,0.199271000224869,0.00338144422961776,0.00223281494316046,0.795114740537717
"7975772",0,0.0923973491813632,0,0.000572306402508434,0.907030344416128
"7975779",1.16149634525479e-12,0.442442066787375,0.00963466992671496,7.12287319270931e-05,0.547852034552821
"7975787",1.04797412020214e-10,0.216713840459851,0,0.0670657923686514,0.7162203670667
"7975793",0,0.0380442333448668,0.00102227893627971,0.016668631070531,0.944264856648322
"7975799",6.79847699686042e-15,0.415214107049886,0.0238892802663363,0.0543941045643352,0.506502508119436
"7975815",0,0.154108580841068,3.95402486216372e-15,0.00247590413093615,0.843415515027992
"7975851",0,0,0,0.00167406063291626,0.998325939367084
"7975863",7.36030637695029e-13,0.148235799362779,0,0.00990271769209948,0.841861482944386
"7975876",0,0,0,0.00303527755350718,0.996964722446493
